Artikelnr.;EAN;Beschreibung;Beschreibung 2;Bestand;Preis
11010090;6933882540736;Set 6x 1 1/4, 4PR,;CST, C-179, grau, WH767PA45;40;7,1
11015000;6933882540750;Set 7x 1 3/4, 4PR,;CST, C-179, WH767A30;3;7,21
11015091;6933882540767;Set 7x 1 3/4, 4PR,;CST, C-179, grau, WH767A30;40;7
11125060;6933882523982;Set 24x 1 3/8 (37-540),;CST, C-63, grau, Schrader;40;8,47
11311010;6933882541238;Set 2.50 - 4, 4PR,;CST, C-202, grau, JS87PA25;40;10,7
11314005;6933882540774;Set 3.00 - 4 (260x85), 4PR,;CST, C-179N, grau, TR87;40;10,53
11314505;6933882540798;Set 3.00 - 4 (260x85), 4PR,;CST, C-248, grau, TR87;40;10,58
11392030;6933882540859;Set 200x 50, 4PR,;CST, C-179, WH767A30;40;7,27
11392090;6933882540873;Set 200x 50, 4PR,;CST, C-179, grau, WH767A30;40;7,03
11394040;6933882585515;Set 200x 50, 4PR,;CST, C-9349, TR87;40;7,25
12010001;4717784700120;6x 1 1/4, 6PR,;Maxxis, C-179;40;7,63
12010005;6933882596788;6x 1 1/4, 6PR,;CST, C-9287;40;7,63
12010010;6933882585430;6x 1 1/4, 4PR,;CST, C-179, grau;40;6
12015000;6933882585485;7x 1 3/4, 4PR,;CST, C-179;0;199,99
12015010;6933882585461;7x 1 3/4, 4PR,;CST, C-179, grau;40;5,59
12019910;6933882585508;8x 1 1/4,;CST, C-179, grau;40;5,29
12020015;6933882555952;8x 1 1/4, 6PR,;CST, C-9287;40;6,24
12030000;6933882595774;10x 2.00 (2.00-6), 2PR,;CST, C-179;40;5,59
12030010;6933882585584;10x 2.00 (2.00-6), 2PR,;CST, C-179, grau;16;6,5
12040000;6933882500280;12 1/2x 2 1/4 (57-203),;CST, C-51;40;5,99
12040010;6933882500341;12 1/2x 2 1/4 (57-203),;CST, C-51, grau;40;5,99
12042310;6933882520301;12 1/2x 2 1/4 (62-203),;CST, C-623, grau, verst?rkt;40;6,5
12042500;6933882520349;12 1/2x 2 1/4 ,(62-203),;CST, C-628, verst?rkt;40;7
12042510;6933882520318;12 1/2x 2 1/4 (62-203),;CST, C-628, grau, verst?rkt;40;7
12042512;6933882527881;12 1/2x 2 1/4 (62-203), Pannenschutz,;CST, C-628, grau, verst?rkt;40;7,5
12070310;6933882599017;14x 2.125, TT, ;CST, C-1488;0;7,8
12070510;6933882500440;16x 1.75 (47-305),;CST, C-97N, grau;31;6,6
12080920;6933882504110;16x 1.75 (47-305),;CST, S-City, C-714;40;6,6
12084050;6933882523661;16x 2.50 , TT,;CST, C-1488;40;10,65
12084100;6933882521124;16x 3.00 (2.75-12), 36F, #E, TT,;CST, C-1488;40;11,99
12094010;4717784028279;20x 1 (25-451),;CST, C-1051, grau;40;9,61
12094020;6933882527010;20x 1 (25-451),;CST, C-1051, non marking;40;9,14
12095010;6933882500327;20x 1 3/8 (37-451),;CST, C-62, grau;10;6,7
12101510;6933882502918;20x 1.75 (47-406),;CST, C-97N, grau;40;7
12118015;6933882520448;22x 1 (25-489),;CST, C-1407, grau;40;9,61
12118055;6933882527003;22x 1 (25-501),;CST, C-1051, non marking;40;9,56
