sysnr;itemcode;description ;type ;brand;brand description ;group ;group description ;E-mark;European;width tyre;aspect ratio;diameter;LI/SI;nett-price;gross;available;eancode;ip-code;photolink;;;;;weight;3pmsf;rim protection;season;ms;age;demo;runflat;;Fuel effeciency;Wet grip;Rollnoise;Noiselevel;Snowgrip;Icegrip;EPREL-id;EPREL-url;wcat;
;145    R 10TTR10;145     R10 TL 84N  NANK TR10;TR10;NA;NANKANG;16;BESTELWAGEN BANDEN;J;N;145;80;10;84N;41,10;0,00;>  20;4717622044652;EB208;https://www.etyre.net/preview/t3/na-tr10.jpg;;;;;6,036;;;Summer;;;;;;;;;;;;;;1;
013006;185 60HR 13TA008;185/60 HR13 TL 80H  YOKO A008;A008;YO;YOKOHAMA;11;LUXE BANDEN;J;N;185;60;13;80H;77,66;0,00;>  20;4968814934736;R3153;https://www.etyre.net/preview/t3/yo-a008.jpg;;;;;6,316;N;;Summer;;;;;;C;C;69;B;N;N;631575;https://eprel.ec.europa.eu/qr/631575;1;
014041;195 60 R 12TTR10;195/60  R12 TL 104N NANK TR10;TR10;NA;NANKANG;16;BESTELWAGEN BANDEN;J;N;195;60;12;104N;48,42;0,00;>  20;4717622057126;EB189;https://www.etyre.net/preview/t3/na-tr10.jpg;;;;;8,380;N;;Summer;;;;;;D;C;72;B;N;N;470869;https://eprel.ec.europa.eu/qr/470869;1;
016745;175 65TR 14TK425 VW;175/65 TR14 TL 82T  HA K425 KINERGY ECO VW;K425 VW;HA;HANKOOK;11;LUXE BANDEN;J;N;175;65;14;82T;48,42;71,50;>  20;8808563367453;1016649;https://www.etyre.net/preview/t3/ha-k425.jpg;;;;;6,256;N;;Summer;;;;;;B;C;65;A;N;N;464874;https://eprel.ec.europa.eu/qr/464874;1;
016749;195 65HR 15TK425XL;195/65 HR15 TL 95H  HA K425 KINERGY ECO XL;K425XL;HA;HANKOOK;11;LUXE BANDEN;J;N;195;65;15;95H;52,51;90,50;>  20;8808563358079;1015812;https://www.etyre.net/preview/t3/ha-k425.jpg;;;;;8,134;N;;Summer;;;;;;A;A;71;B;N;N;470930;https://eprel.ec.europa.eu/qr/470930;1;
018331;750    R 16TXZL;750     R16 TL 116N MI XZL O/R EU;XZL;MI;MICHELIN;17;4 X 4;J;J;750;80;16;116N;160,73;254,50;>  20;3528701101811;110181;https://www.etyre.net/preview/t3/mi-xzl.jpg;;;;;18,849;;;Summer;J;;;;;;;;;;;;;2;
020763;165 80TR 15TCT22;165/80 TR15 TL 87T  CO CONTACT CT 22;CT22;CO;CONTINENTAL;11;LUXE BANDEN;J;J;165;80;15;87T;66,65;128,50;>  20;4019238014990;0358140;https://www.etyre.net/preview/t3/co-ct22.jpg;;;;;7,372;N;;Summer;;;;;;D;B;70;B;N;N;481321;https://eprel.ec.europa.eu/qr/481321;1;
020883;245 35ZR 17TPT741;245/35 ZR17 TL 87W  PT VELOX SP PT741;PT741;PT;PETLAS;11;LUXE BANDEN;J;N;245;35;17;87W;79,99;0,00;>  20;8680830018431;28880;https://www.etyre.net/preview/t3/pt-pt741.jpg;;;;;9,956;N;;Summer;;;;;;D;B;71;B;N;N;499411;https://eprel.ec.europa.eu/qr/499411;1;
022543;155 70 R 12TR701RF;155/70  R12 TL 104N LL R701;R701RF;LL;LINGLONG;16;BESTELWAGEN BANDEN;J;N;155;70;12;104N;35,54;63,70;>  20;6959956706365;221003574;https://www.etyre.net/preview/t3/ll-r701.jpg;;;;;6,543;N;;Summer;;;;;;D;D;72;B;N;N;427689;https://eprel.ec.europa.eu/qr/427689;1;
023997;P23560TR 15TCOBRAGT;P235/60TR15 TL 98T  CP COBRA GT RWL;COBRAGT;CP;COOPER;11;LUXE BANDEN;J;N;235;60;15;98T;93,56;233,50;>  20;0029142337867;589867;https://www.etyre.net/preview/t3/cp-cobragt.jpg;;;;;11,566;;;Summer;;;;;;;;;;;;;;3;
024039;P27560TR 15TCOBRAGT;P275/60TR15 TL 107T CP COBRA GT RWL;COBRAGT;CP;COOPER;11;LUXE BANDEN;J;N;275;60;15;107T;114,88;247,00;>  20;0029142337898;589870;https://www.etyre.net/preview/t3/cp-cobragt.jpg;;;;;13,775;;;Summer;;;;;;;;;;;;;;3;
024107;165 70HR 10TA008;165/70 HR10 TL 72H  YOKO A008;A008;YO;YOKOHAMA;11;LUXE BANDEN;J;N;165;70;10;72H;54,88;85,00;>  20;4968814602109;K4831;https://www.etyre.net/preview/t3/yo-a008.jpg;;;;;5,337;;;Summer;;;;;;;;;;;;;;1;
025521;195 60HR 15TWINTRAC;195/60 HR15 TL 88H  VR WINTRAC;WINTRAC;VR;VREDESTEIN;13;LUXE BANDEN M&S;J;J;195;60;15;88H;63,11;109,00;16;8714692800375;AP19560015HWTRA00;https://www.etyre.net/preview/t3/vr-wintrac.jpg;;;;;7,706;J;;Winter;J;;;;;C;B;70;B;J;N;658449;https://eprel.ec.europa.eu/qr/658449;1;
025893;145 70TR 13TCLUBSPORT;145/70 TR13 TL 71T  ML CLUBSPORT;CLUBSPORT;ML;MASTERSTEEL;11;LUXE BANDEN;J;N;145;70;13;71T;28,42;50,40;>  20;6921109028853;MS6921109028853;https://www.etyre.net/preview/t3/ml-clubsport.jpg;;;;;5,477;N;;Summer;;;;;;D;C;69;B;N;N;605912;https://eprel.ec.europa.eu/qr/605912;1;
025896;155 70TR 13TCLUBSPORT;155/70 TR13 TL 75T  ML CLUBSPORT;CLUBSPORT;ML;MASTERSTEEL;11;LUXE BANDEN;J;N;155;70;13;75T;26,45;51,40;>  20;6921109026989;MS6921109026989;https://www.etyre.net/preview/t3/ml-clubsport.jpg;;;;;5,681;N;;Summer;;;;;;C;C;69;B;N;N;605914;https://eprel.ec.europa.eu/qr/605914;1;
025897;155 80TR 13TCLUBSPORT;155/80 TR13 TL 79T  ML CLUBSPORT;CLUBSPORT;ML;MASTERSTEEL;11;LUXE BANDEN;J;N;155;80;13;79T;29,73;53,00;>  20;6921109027009;MS6921109027009;https://www.etyre.net/preview/t3/ml-clubsport.jpg;;;;;6,218;N;;Summer;;;;;;D;C;69;B;N;N;605915;https://eprel.ec.europa.eu/qr/605915;1;
025899;165 70TR 13TCLUBSPORT;165/70 TR13 TL 79T  ML CLUBSPORT;CLUBSPORT;ML;MASTERSTEEL;11;LUXE BANDEN;J;N;165;70;13;79T;25,95;52,80;>  20;6921109027085;MS6921109027085;https://www.etyre.net/preview/t3/ml-clubsport.jpg;;;;;6,149;N;;Summer;;;;;;C;C;69;B;N;N;605917;https://eprel.ec.europa.eu/qr/605917;1;
025903;175 70TR 13TCLUBSPORT;175/70 TR13 TL 82T  ML CLUBSPORT;CLUBSPORT;ML;MASTERSTEEL;11;LUXE BANDEN;J;N;175;70;13;82T;31,10;55,20;>  20;6921109027252;MS6921109027252;https://www.etyre.net/preview/t3/ml-clubsport.jpg;;;;;6,362;N;;Summer;;;;;;C;C;69;B;N;N;605918;https://eprel.ec.europa.eu/qr/605918;1;
032687;235 55ZR 17TSPMAXXTTX;235/55 ZR17 TL 103W DU SPORTMAXX TT XL MFS;SPMAXXTTX;DU;DUNLOP;11;LUXE BANDEN;J;J;235;55;17;103W;103,26;181,50;>  20;4038526059963;580188;https://www.etyre.net/preview/t3/du-spmaxxtt.jpg;;;;;11,608;N;;Summer;;;;;;B;B;72;B;N;N;531163;https://eprel.ec.europa.eu/qr/531163;3;
034607;195 55 R 10TTR10;195/55  R10 TL 98P  NANK TR10;TR10;NA;NANKANG;16;BESTELWAGEN BANDEN;J;N;195;55;10;98P;49,18;0,00;>  20;4717622044645;EB207;https://www.etyre.net/preview/t3/na-tr10.jpg;;;;;7,580;;;Summer;;;;;;;;;;;;;;1;
035041;175 60HR 13TA539;175/60 HR13 TL 77H  YOKO A539;A539;YO;YOKOHAMA;11;LUXE BANDEN;J;N;175;60;13;77H;57,41;87,50;>  20;4968814998011;R6092;https://www.etyre.net/preview/t3/yo-a539.jpg;;;;;6,550;N;;Summer;;;;;;D;C;69;B;N;N;631520;https://eprel.ec.europa.eu/qr/631520;1;
035230;185    R 14TLIGHTTRUCK;185     R14 TL 102R ML LIGHT TRUCK;LIGHTTRUCK;ML;MASTERSTEEL;16;BESTELWAGEN BANDEN;J;N;185;80;14;102R;42,81;78,40;>  20;6921109024572;MS6921109024572;https://www.etyre.net/preview/t3/ml-lighttruck.jpg;;;;;10,646;N;;Summer;;;;;;C;C;72;B;N;N;605930;https://eprel.ec.europa.eu/qr/605930;1;
035231;195 70 R 15TLIGHTTRUCK;195/70  R15 TL 104S ML LIGHT TRUCK;LIGHTTRUCK;ML;MASTERSTEEL;16;BESTELWAGEN BANDEN;J;N;195;70;15;104S;43,97;81,00;>  20;6921109027726;MS6921109027726;https://www.etyre.net/preview/t3/ml-lighttruck.jpg;;;;;11,698;N;;Summer;;;;;;C;C;72;B;N;N;605933;https://eprel.ec.europa.eu/qr/605933;1;
036158;205 55ZR 16TPROSPORT;205/55 ZR16 TL 91W  ML PROSPORT;PROSPORT;ML;MASTERSTEEL;11;LUXE BANDEN;J;N;205;55;16;91W;36,95;66,40;>  20;6921109027870;MS6921109027870;https://www.etyre.net/preview/t3/ml-prosport.jpg;;;;;8,899;N;;Summer;;;;;;B;B;70;B;N;N;605973;https://eprel.ec.europa.eu/qr/605973;1;
036224;255 55 R 19TDURATRAC;255/55  R19 TL 111Q GY WRL DURATRAC XL POR;DURATRAC;GY;GOODYEAR;17;4 X 4;J;J;255;55;19;111Q;125,13;231,50;>  20;5452000598226;539834;https://www.etyre.net/preview/t3/gy-duratrac.jpg;;;;;18,893;;;Summer;J;;;;;;;;;;;;;2;
036333;205 65TR 15TAGIL51SI;205/65 TR15 TL 102T MI AGILIS 51 SNOW-ICE;AGIL51SI;MI;MICHELIN;24;BESTELWAGEN BANDEN M;J;J;205;65;15;102T;102,05;189,50;>  20;3528701360973;136097;https://www.etyre.net/preview/t3/mi-agilis51.jpg;;;;;10,548;J;;Winter;J;;;;;D;A;71;B;J;N;408945;https://eprel.ec.europa.eu/qr/408945;1;
